zcta_code,Total population,sex ratio,median age,disability rate,computer rate,internet rate,full time percent,median households income,poverty rate,households with disability,food stamps households,uninsured rate,need_service_households,non_white_rate,worker rate,Total population_weighted,sex ratio_weighted,median age_weighted,non_white_rate_weighted,disability rate_weighted,households with disability_weighted,need_service_households_weighted,poverty rate_weighted,food stamps households_weighted,uninsured rate_weighted,full time percent_weighted,worker rate_weighted,Combined_Score,demographic_demand,vulnerability_demand,poverty_demand,development_demand
60004,48.69798208155405,75.27472527472527,74.73498233215547,14.146617792232792,96.057084,93.0802805,81.7016317016317,47.088,17.771883289124666,37.969094922737305,6.527879485301809,18.92857142857143,73.59636625387577,18.063147349232867,61.10679805081482,5.395150252226761,2.389792559005347,2.8832394665314434,1.8320434240271992,1.1587678501629868,2.510992354331391,4.581273749960229,1.767129222167848,1.2183808982078674,2.5135634401794658,3.217623580036792,2.989146534533383,32.45710333137072,12.50022570179075,8.251033954454607,5.499073560555181,6.206770114570175
60005,27.558681514973905,80.76923076923076,75.08833922261483,18.850158840919317,94.9450549,91.8838305,82.28438228438227,38.306,23.872679045092838,45.91611479028698,10.15796631446804,29.285714285714285,68.71290340311465,19.29052774572794,61.67974912090239,3.0531701966120495,2.56422997207143,2.8968718044346655,1.9565297131939756,1.5440410108001774,3.0365488936100546,4.27728482624187,2.3737556715687513,1.8959100194869218,3.8889094734852105,3.2405738195520333,3.0171734441447375,33.74499884520188,10.47080168631212,8.857874730652101,8.158575164540883,6.25774726369677
60007,30.746043707611157,72.52747252747253,74.02826855123675,14.63175520018633,94.9433372,91.4419695,86.71328671328672,37.6204,12.732095490716178,40.83885209713024,6.297729888063604,19.28571428571429,72.77896989536522,16.862187205825805,63.97651962494226,3.406291562272467,2.302573852472305,2.855974790725,1.7102367925078525,1.1985060857967096,2.7007766601820196,4.530391937838694,1.2660030248366672,1.1754251614120772,2.560989165465871,3.4149956398678656,3.1295240141592258,30.251688687536756,10.275076997977624,8.429674683817423,5.002417351714615,6.544519654027091
60008,21.575632402057924,80.53375196232338,68.37455830388693,17.899258163484216,95.6377755,92.7486582,83.1002331002331,35.682,18.037135278514587,48.12362030905078,4.718066743383199,42.142857142857146,69.1532725075199,22.998128707458363,66.62182309956924,2.390320370995545,2.5567540829400266,2.6378573842734485,2.3325708221728942,1.466151500396144,3.182536821187461,4.304697204338717,1.7935042851852787,0.8805926043136991,5.596235583795791,3.2727041548733706,3.258923687619369,33.67284850209174,9.917502660381915,8.953385525922322,8.270332473294769,6.53162784249274
60010,43.84716291272433,75.66718995290424,82.68551236749116,12.85783720692345,97.3315188,94.7754571,79.6037296037296,68.202,12.9973474801061,36.203090507726266,4.874986923318338,9.285714285714286,85.64962597996738,16.799553982211968,57.28393359973615,4.857737876116599,2.4022523742243527,3.1899670693539375,1.7038842569707815,1.0532021573519,2.394202012269466,5.331572782308016,1.292378087854098,0.909880606674465,1.2330688574465303,3.1350027177819246,2.802144394175281,30.305293192527344,12.15384157666567,8.778976951929382,3.4353275519750937,5.937147111957206
60015,25.743578293188943,78.02197802197801,77.03180212014134,13.5045025534255,97.630703,96.3187781,76.22377622377624,72.4444,10.875331564986734,38.63134657836645,1.6319698713254522,7.142857142857143,77.2467144150817,9.48342321004512,64.05275189755278,2.8520786074691786,2.4770112655383882,2.971849662902386,0.9618502685783571,1.1061713563750406,2.5547887326046133,4.808502960590824,1.081377583714653,0.30459522455196686,0.9485145057281003,3.0018913285935276,3.13325304989276,26.201884546539794,9.262789804488312,8.469463049570477,2.33448731399472,6.135144378486287
60016,57.81164233814322,74.72527472527472,73.67491166077738,20.213659172422737,94.8975807,90.5493962,80.06993006993008,32.0464,24.403183023872675,51.65562913907285,28.33978449628622,40.0,71.61038718615131,33.36763074716602,65.74752557369813,6.404834110373127,2.372348817698738,2.8423424528217778,3.3842910819364755,1.65572709513761,3.4161175053113113,4.457649252800257,2.426505797603612,5.289413226354347,5.311681232077361,3.153362909394118,3.2161558859512875,43.93042936746002,15.003816462830118,9.529493853249178,13.02760025603532,6.369518795345405
60018,27.129792440016004,82.65306122448979,71.02473498233216,17.681719917213233,93.3874949,86.6515837,81.35198135198135,30.2112,26.79045092838196,50.77262693156733,11.633016005858352,52.85714285714286,78.4857033450281,21.90415129015586,65.85881162786742,3.0056544495106334,2.624037085122659,2.7400999185476134,2.2216148467465837,1.4483326599028314,3.3577223342803486,4.8856283371573035,2.6638813647604875,2.171217241678123,7.019007342387942,3.203853436327648,3.221599639081429,38.562648655503594,10.591406299927488,9.691683331340483,11.854105948826552,6.425453075409077
60022,7.94142547470857,68.99529042386185,81.97879858657242,12.36324945281098,94.7210157,94.1196124,79.6037296037296,90.9116,4.774535809018567,37.74834437086093,0.6486034103985772,3.571428571428572,88.53674715345667,4.015608048710005,56.83456306479058,0.8798143541381559,2.190435515501251,3.162702393547493,0.4072805351622344,1.0126898315813886,2.4963935615736506,5.511292150509354,0.4747511343137502,0.12105707642449964,0.4742572528640502,3.1350027177819246,2.7801626438610696,22.64583916725882,6.6402327983491345,9.020375543664393,1.0700654636023,5.915165361642994
60025,39.2568403620903,73.78335949764521,79.3286219081272,15.406786200603651,95.4718869,91.3065232,75.05827505827507,46.723600000000005,17.771883289124666,41.05960264900663,10.576420127628412,17.500000000000004,78.76275519483981,21.24471381731813,56.66348667877494,4.349185389786038,2.342445261173124,3.0604598592733288,2.1547318134461446,1.2619898823729019,2.7153754529397602,4.9028744381746,1.767129222167848,1.9740113591156312,2.323860539033846,2.955990849563045,2.7717941414569034,32.57984820850317,11.906822323678636,8.880239773487263,6.0650011203173255,5.7277849910199485
