zcta_code,hospital beds,hospital cost per day,nurse beds,nurse cost per day,home cost per visit,Summary star rating,Overall Rating,num_doctors,doctor_rating,home_rating,hospital beds_weighted,nurse beds_weighted,num_doctors_weighted,hospital cost per day_weighted,nurse cost per day_weighted,home cost per visit_weighted,Summary star rating_weighted,Overall Rating_weighted,doctor_rating_weighted,home_rating_weighted,origin_health_score,quantity_score,expenses_score,quality_score,baseline_score,combined_health_score
60074,1.303754827,1.203607133,3.874228851,6.125446216,9.933691614,3.610832497,7.35774434,0.664599848,6.236569768,0,0.118591424,0.31056873,0.085525507,0.111999442,0.484193623,1.11591909,0.279108429,0.500151805,0.568461748,0,3.574519797,0.51468566,1.712112156,1.347721982,20,23.5745198
60076,0.423376976,0.385195207,1.611715929,2.009541872,1.782460907,1.278836509,2.116702496,0.247368519,0.593613366,0,0.038510982,0.129199536,0.031833167,0.03584363,0.158846772,0.200235948,0.098850902,0.14388548,0.054107707,0,0.891314123,0.199543684,0.39492635,0.296844089,20,20.89131412
60077,1.67006589,1.217809372,11.19446815,12.2559769,15.47937654,3.084252758,12.4162975,1.122208402,3.975590787,0,0.151911607,0.897379036,0.14441388,0.113321006,0.968789155,1.738903567,0.238405116,0.844013235,0.362374089,0,5.459510691,1.193704523,2.821013728,1.44479244,20,25.45951069
60089,3.566974702,2.274046035,24.65999775,28.7140821,32.36003188,5.190571715,30.00748246,2.594816864,12.6388012,0,0.324457175,1.976812539,0.333919769,0.211607161,2.269740842,3.635222305,0.401218366,2.039795869,1.152023515,0,12.34479754,2.635189484,6.116570308,3.59303775,20,32.34479754
60090,2.266534908,1.418716663,16.07346676,18.369559,20.76959219,3.159478435,19.22348778,1.634117363,7.310268576,0,0.206167291,1.288492845,0.210290021,0.132016063,1.452044964,2.333189444,0.244219875,1.306740444,0.666329121,0,7.83949007,1.704950157,3.917250472,2.217289441,20,27.83949007
60091,2.674283875,1.99090571,16.19662903,18.27737814,21.48173048,5.341023069,18.7728779,1.740861752,5.968054583,0,0.243256727,1.298365867,0.22402666,0.18526006,1.444758412,2.413188777,0.412847884,1.276109678,0.543986657,0,8.041800722,1.765649253,4.043207249,2.23294422,20,28.04180072
60093,4.026817033,2.779647918,26.72399464,30.02473392,34.80255406,6.920762287,30.72520399,2.768392522,10.21705746,0,0.366285098,2.142268147,0.356256738,0.258655012,2.37334297,3.909607421,0.534957821,2.088583881,0.931282189,0,12.96123928,2.864809984,6.541605402,3.554823892,20,32.96123928
60103,0.150833967,0.088104351,0.301731712,0.507183607,0.13801114,0.150451354,1.15978004,0.038520801,0.451444454,0,0.013720076,0.024187635,0.004957135,0.008198388,0.040090968,0.015503729,0.011629518,0.078837488,0.041149047,0,0.238273984,0.042864846,0.063793085,0.131616053,20,20.23827398
60104,4.896539423,4.858120151,4.868867018,7.983978346,7.596090488,20.3109328,8.417758355,4.855941486,8.373376703,0,0.445396304,0.390301632,0.624897612,0.452063413,0.63110364,0.853320469,1.569984911,0.572207573,0.763231157,0,6.30250671,1.460595548,1.936487522,2.905423641,20,26.30250671
60107,0.150833967,0.088104351,0.2684874,0.373481594,0.063931987,0.150451354,0.860481965,0.030630999,0.261678689,0,0.013720076,0.021522681,0.003941818,0.008198388,0.029522324,0.007181915,0.011629518,0.05849233,0.023851946,0,0.178060994,0.039184574,0.044902626,0.093973794,20,20.17806099
60120,3.058117252,1.899961403,6.382274766,9.26975164,8.156562329,4.212637914,18.3818901,1.0990031,10.42588048,0,0.278170766,0.511620517,0.141427654,0.176797405,0.732739212,0.91628208,0.3256265,1.249531797,0.950316354,0,5.282512284,0.931218936,1.825818697,2.525474651,20,25.28251228
60126,6.395644364,5.572995884,13.68177594,15.5214763,24.95738718,17.15145436,17.61440432,4.127295004,9.573486267,0,0.581757056,1.096768399,0.531130121,0.518584856,1.226914675,2.803632916,1.325765036,1.197360999,0.872620838,0,10.1545349,2.209655576,4.549132447,3.395746873,20,30.1545349
60130,0.273490161,0.26249114,0.119521219,0.15021095,0.041390784,1.128385155,0.261885815,0.294243229,0.280775532,0,0.02487706,0.009581146,0.037865343,0.024425629,0.011873614,0.004649708,0.087221384,0.017802013,0.025592618,0,0.243888517,0.07232355,0.040948951,0.130616016,20,20.24388852
